"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"6130XX21121_61300621121";"61300621121";"J5, J9";"WR-PHD 2.54 mm THT Dual Pin Header";"";
"4";"";"BTS7030-2EPA";"SOP65P600X115-15N-V";"U2, U3, U5, U6";"BTS7030-2EPA";"";
"1";"";"IFX27001TF_V50";"INF-PG-TO252-3-11_N";"G1";"IFX27001TF V50";"";
"1";" 61300421121 ";"6130XX21121_61300421121";"61300421121";"J4";"WR-PHD 2.54 mm THT Dual Pin Header";"";
"2";" 61300615721 ";"6130XX15721_61300615721";"61300615721";"W1-J2, W2-J2";"WR-PHD 2.54 mm Socket Header Bottom Entry";"";
"2";" 61301015721 ";"6130XX15721_61301015721";"61301015721";"W1-J1, W2-J1";"WR-PHD 2.54 mm Socket Header Bottom Entry";"";
"2";" 61302211821 ";"6130XX11821_61302211821";"61302211821";"ESP32-J1, ESP32-J3";"WR-PHD 2.54 mm Socket Header";"";
"3";" 638207222005 ";"638207222005";"638207222005";"J1, J7, J13";"WR-FAST 5.08 mm THT Male Header Vertical Blade 2863";"";
"1";" 638207222007 ";"638207222007";"638207222007";"J8";"WR-FAST 5.08 mm THT Male Header Vertical Blade 2863";"";
"1";" 638207222008 ";"638207222008";"638207222008";"J15";"WR-FAST 5.08 mm THT Male Header Vertical Blade 2863";"";
"10";"100nF";"WCAP-CSGP_0805_H0.8_885012207098_50V(DC)_R";"WCAP-CSGP_0805_H0.8_R";"C1, C2, C3, C5, C6, C13, C17, C18, C19, C20";"WCAP-CSGP MLCCs 0805";"";
"16";"100nF";"WCAP-CSGP_1206_H0.8_885012208087_50V(DC)";"WCAP-CSGP_1206_H0.8";"C24, C25, C26, C27, C31, C32, C33, C34, C39, C40, C41, C42, C47, C48, C49, C50";"WCAP-CSGP MLCCs 1206";"";
"8";"10nF";"WCAP-CSGP_0805_H0.8_885012207092_50V(DC)_R";"WCAP-CSGP_0805_H0.8_R";"C4, C7, C8, C9, C14, C16, C21, C22";"WCAP-CSGP MLCCs 0805";"";
"10";"13K";"R-EU_R1206";"R1206";"R14, R15, R23, R26, R31, R32, R41, R44, R53, R56";"RESISTOR, European symbol";"";
"8";"150141VS73100";"WL-SMTW_3528_150141VS73100";"WL-SMTW_3528";"D1, D2, D3, D4, D7, D8, D9, D10";"WL-SMTW SMT Mono-color TOP LED Waterclear";"";
"8";"1K2";"R-EU_R1206";"R1206";"R21, R24, R27, R28, R39, R42, R51, R54";"RESISTOR, European symbol";"";
"1";"22uF";"WCAP-CSGP_0805_H1.25_885012107011_10V(DC)";"WCAP-CSGP_0805_H1.25_R";"C12";"WCAP-CSGP MLCCs 0805";"";
"1";"22uF";"WCAP-CSGP_1210_H2.5_885012109014_25V(DC)";"WCAP-CSGP_1210_H2.5";"C10";"WCAP-CSGP MLCCs 1210";"";
"1";"24Vdc";"WE-TVS_SOT23-3L_824094024";"WE-TVS_SOT23-3L";"D11";"WE-TVS TVS Diode – Standard Series";"";
"4";"3.3Vdc";"WE-TVS-HS_SOT143-4L_8240136";"WE-TVS_SOT143-4L";"D12, D13, D15, D17";"WE-TVS TVS Diode – High Speed Series";"";
"1";"330  µF ";"WCAP-ASLI_12.5X14_865080662019";"WCAP-ASLI_12.5X14(DXL)";"C23";"WCAP-ASLI Aluminium Electrolytic Capacitors";"";
"2";"33V";"WE-TVSP_DO-214AB_3000W_BI_824551331";"WE-TVSP_DO-214AB_BIDIRECTIONAL";"D0, D5";"WE-TVSP Power TVS Diode";"";
"8";"470Ohm";"R-EU_R1206";"R1206";"RX1, RX2, RX3, RX4, RX5, RX6, RX7, RX8";"RESISTOR, European symbol";"";
"8";"47K";"R-EU_R1206";"R1206";"R22, R25, R29, R30, R40, R43, R52, R55";"RESISTOR, European symbol";"";
"4";"47R";"R-EU_R0805";"R0805";"R7, R8, R10, R12";"RESISTOR, European symbol";"";
"1";"47nF";"WCAP-CSGP_0805_H0.8_885012207096_50V(DC)_R";"WCAP-CSGP_0805_H0.8_R";"C15";"WCAP-CSGP MLCCs 0805";"";
"8";"4k7";"R-EU_R0805";"R0805";"R2, R4, R5, R6, R9, R11, R13, R18";"RESISTOR, European symbol";"";
"2";"60R";"R-EU_R0805";"R0805";"R1, R3";"RESISTOR, European symbol";"";
"1";"645004114822";"645004114822";"645004114822";"J2";"WR-WTB 3.96 mm Male Vertical Locking Header";"";
"8";"M3 x 2.5mm";"WA-SMSI_9774XXX360_9774025360R";"WA-SMSI_9774025360";"MP1, MP2, MP3, MP4, MP5, MP6, MP7, MP8";"WA-SMSI SMT Steel Spacer with internal Thread M3";"";
"1";"MBRS340T3";"MBRS340T3";"SMC";"D006";"SCHOTTKY BARRIER RECTIFIER 3.0 AMPERES 20, 30, 40 VOLT";"";
"1";"TLE9250VSJ";"TLE9250VSJ";"SOIC127P602X173-8N-V";"U4";"TLE9250VSJ";"";
