"Qty";"Value";"Device";"Package";"Parts";"Description";"ARTIKEL_NR";"AVAILABILITY";"C-CH";"CERAMIC-TYPE";"CHANNELS";"CHIP-TECHNOLOGY";"CONTACT-RESISTANCE";"DATASHEET-URL";"DESCRIPTION";"DF";"EMITTING-COLOR";"GENDER";"HEIGHT";"I-V-TYP";"IPEAK";"IR";"LAMDA-DOM-TYP";"LAMDA-PEAK-TYP";"MATES";"MF";"MOUNT";"MP";"OPERATING-TEMPERATURE";"PACKAGE";"PACKAGING";"PART-NUMBER";"PDISS";"PHI-V-TYP";"PINS";"PITCH";"PRICE";"PURCHASE-URL";"QMIN";"RISO";"ROWS";"SIZE";"TECHNICAL-REFERENCE";"TYPE";"V-F-TYP";"VALUE";"VBR";"VCLAMP";"VIEWING-ANGLE";"VR";"WORKING-VOLTAGE";
"2";"";"6130XX21121_61300621121";"61300621121";"J5, J9";"WR-PHD 2.54 mm THT Dual Pin Header";"";"";"";"";"";"";"";"https://katalog.we-online.com/em/datasheet/61300621121.pdf";"";"";"";"Pin Header";"";"";"";"3A";"";"";"WR-PHD 2.54mm Angled DualSocket Header/Dual Socket Header/Dual Socket Header Bottom Entry/Dual Socket Header Bottom Entry Large/SMT Dual Socket Header/SMT Dual Socket Header Bottom Entry";"";"";"";"";"";"Bag";" 61300621121 ";"";"";" 6 ";"";"";"";"";"";"Dual";"";"";"Board Stacker";"";"";"";"";"";"";"";
"4";"";"BTS7030-2EPA";"SOP65P600X115-15N-V";"U2, U3, U5, U6";"BTS7030-2EPA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"IFX27001TF_V50";"INF-PG-TO252-3-11_N";"G1";"IFX27001TF V50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";" 61300421121 ";"6130XX21121_61300421121";"61300421121";"J4";"WR-PHD 2.54 mm THT Dual Pin Header";"";"";"";"";"";"";"";"https://www.we-online.com/redexpert/spec/61300421121?ae";"";"";"";"Pin Header";"";"";"";"3A";"";"";"";"";"THT";"";"";"";"Bag";" 61300421121 ";"";"";" 4 ";"2.54mm";"";"";"";"";"Dual";"";"";"Board Stacker";"";" 61300421121 ";"";"";"";"";"";
"5";" 638207222006 ";"638207222006";"638207222006";"J1, J2, J10, J11, J12";"WR-FAST 5.08 mm THT Male Header Vertical Blade 2863";"";"";"";"";"";"";"20mOhm";"https://www.we-online.com/catalog/datasheet/638207222006.pdf";"";"";"";"Male";"";"";"";"16A";"";"";"";"";"THT";"";"";"";"";" 638207222006 ";"";"";" 6 ";"5.08mm";"";"";"";"";"";"";"";"Vertical";"";" 638207222006 ";"";"";"";"";"300V(AC)";
"10";"100nF";"WCAP-CSGP_0805_H0.8_885012207098_50V(DC)_R";"WCAP-CSGP_0805_H0.8_R";"C1, C2, C3, C5, C6, C13, C17, C18, C19, C20";"WCAP-CSGP MLCCs 0805";"";"";"";"X7R Class II";"";"";"";"https://www.we-online.com/redexpert/spec/885012207098?ae";"";"2.5%";"";"";"0.8mm";"";"";"";"";"";"";"";"SMT";"";"-55 up to +125 °C";"";"";" 885012207098 ";"";"";"";"";"";"";"-";"5GOhm";"";"0805";"X7R0805104K050DFCT10000";"";"";"100nF";"";"";"";"50V(DC)";"";
"16";"100nF";"WCAP-CSGP_1206_H0.8_885012208087_50V(DC)";"WCAP-CSGP_1206_H0.8";"C24, C25, C26, C27, C31, C32, C33, C34, C39, C40, C41, C42, C47, C48, C49, C50";"WCAP-CSGP MLCCs 1206";"";"";"";"X7R Class II";"";"";"";"https://www.we-online.com/redexpert/spec/885012208087?ae";"";"2.5%";"";"";"0.8mm";"";"";"";"";"";"";"";"SMT";"";"-55 up to +125 °C";"";"";" 885012208087 ";"";"";"";"";"";"";"-";"5GOhm";"";"1206";"X7R1206104K050DFCT1000";"";"";"100nF";"";"";"";"50V(DC)";"";
"8";"10nF";"WCAP-CSGP_0805_H0.8_885012207092_50V(DC)_R";"WCAP-CSGP_0805_H0.8_R";"C4, C7, C8, C9, C14, C16, C21, C22";"WCAP-CSGP MLCCs 0805";"";"";"";"X7R Class II";"";"";"";"https://www.we-online.com/redexpert/spec/885012207092?ae";"";"2.5%";"";"";"0.8mm";"";"";"";"";"";"";"";"SMT";"";"-55 up to +125 °C";"";"";" 885012207092 ";"";"";"";"";"";"";"-";"10GOhm";"";"0805";"X7R0805103K050DFCT10000";"";"";"10nF";"";"";"";"50V(DC)";"";
"8";"13K";"R-EU_R1206";"R1206";"R23, R26, R31, R32, R41, R44, R53, R56";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"150141VS73100";"WL-SMTW_3528_150141VS73100";"WL-SMTW_3528";"D1, D2, D3, D4, D7, D8, D9, D10";"WL-SMTW SMT Mono-color TOP LED Waterclear";"";"";"";"";"";"AlInGaP";"";"https://www.we-online.com/catalog/datasheet/150141VS73100.pdf";"";"";"Bright Green";"";"";"90mcd";"";"";"570nm";"572nm";"";"";"";"";"";"";"";"150141VS73100";"";"-";"";"";"";"";"";"";"";"";"";"";"2V";"150141VS73100";"";"";"120°";"";"";
